learning evaluation instances,classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),classified instances of class 0,classified instances of class 1,recall (true positive) for class 0 (percent),recall (true positive) for class 1 (percent),incorrect classifications (false positive) for class 0 (percent),incorrect classifications (false positive) for class 1 (percent),size of class 0,size of class 1,training queue size,time stamp
51.0,51.0,56.13886138732438,-4.6505105167518055,-829.4860334744359,-1768.3608147617313,50.0,1.0,57.42482606544116,0.0,42.57517393455884,100.0,0.8749508392489872,0.12504916075101247,1571.0,1.232035732E9
52.0,52.0,57.216441803604766,-4.531079850195451,-829.486033474435,-1768.3608147617363,51.0,1.0,58.486434632606155,0.0,41.51356536739384,100.0,0.8749508392489872,0.12504916075101247,1572.0,1.232035756E9
53.0,53.0,58.2524555773525,-4.416512853251563,-829.486033474436,-1768.3608147617379,52.0,1.0,59.50633987138515,0.0,40.49366012861485,100.0,0.8751967488803287,0.12480325111967083,1570.0,1.232052561E9
54.0,54.0,59.24921290126062,-4.306523798275707,-829.4860334744338,-1768.3608147617354,53.0,1.0,60.48690323290188,0.0,39.51309676709812,100.0,0.8751967488803287,0.12480325111967083,1571.0,1.232052576E9
55.0,55.0,60.20885597030532,-4.200848900095522,-829.4860334744316,-1768.3608147617379,54.0,1.0,61.430311261747036,0.0,38.569688738252964,100.0,0.8676803335776102,0.1323196664223894,1575.0,1.232061908E9
56.0,56.0,58.80994741580105,-4.112857877396925,-885.0502221840724,-1880.0504466124287,55.0,1.0,59.98368466558449,0.0,40.016315334415516,100.0,0.8676803335776102,0.1323196664223894,1576.0,1.232061969E9
57.0,57.0,59.75446800358167,-4.014760418452982,-885.0502221840703,-1880.0504466124205,56.0,1.0,60.91343436666937,0.0,39.08656563333062,100.0,0.8676803335776102,0.1323196664223894,1577.0,1.232062045E9
58.0,58.0,58.4017424550546,-8.262744963838157,-564.8330165706741,-878.70323207663,56.0,2.0,60.91343436666937,0.0,39.08656563333062,100.0,0.8390809682462576,0.16091903175374206,1579.0,1.232120529E9
59.0,59.0,59.331693740579695,-8.063132818771237,-386.89256269138843,-878.7032320766305,57.0,2.0,61.80972032966622,0.0,38.19027967033378,100.0,0.8390809682462576,0.16091903175374206,1580.0,1.232120976E9
60.0,60.0,58.02149027300941,-7.921916348783788,-413.92759671067034,-933.0463812669034,58.0,2.0,60.41046784477688,0.0,39.58953215522311,100.0,0.8390809682462576,0.16091903175374206,1581.0,1.232122143E9
61.0,61.0,56.7555160000701,-7.780782653991837,-441.2357118816618,-987.9384511560696,59.0,2.0,59.05995954113643,0.0,40.94004045886355,100.0,0.8390809682462576,0.16091903175374206,1582.0,1.232122259E9
62.0,62.0,55.53162928181735,-11.66618493543035,-345.83950063025554,-635.5487110862294,59.0,3.0,59.05995954113643,0.0,40.94004045886355,100.0,0.8390809682462576,0.16091903175374206,1584.0,1.232126233E9
63.0,63.0,56.47959125515458,-11.389164694493017,-265.92624320370186,-635.5487110862276,60.0,3.0,59.964025809768586,0.0,40.03597419023141,100.0,0.8256208201642917,0.17437917983570791,1583.0,1.23213313E9
64.0,64.0,57.39696238754455,-4.7536785621855495,-209.83057030758832,-439.28456543726605,60.0,4.0,59.964025809768586,25.37814064007224,40.03597419023141,74.62185935992777,0.8190909658430223,0.18090903415697734,1582.0,1.232140889E9
65.0,65.0,58.28515577523395,-4.424515018115115,-168.28729637331307,-439.2845654372664,61.0,4.0,60.837573060595965,25.37814064007224,39.162426939404035,74.62185935992777,0.8190909658430223,0.18090903415697734,1583.0,1.232144619E9
66.0,66.0,59.14549888921135,-4.107639128215243,-168.287296373313,-439.2845654372659,62.0,4.0,61.68207906747679,25.37814064007224,38.3179209325232,74.62185935992777,0.8190909658430223,0.18090903415697734,1584.0,1.232146346E9
67.0,67.0,59.979239965069844,-3.802390587624891,-168.2872963733131,-439.284565437265,63.0,4.0,62.49892779286807,25.37814064007224,37.50107220713192,74.62185935992777,0.8190909658430223,0.18090903415697734,1585.0,1.232147557E9
68.0,68.0,58.767817414051606,-4.096819646107232,-182.1061134857783,-467.0617836734332,64.0,4.0,61.18150652280032,25.37814064007224,38.81849347719968,74.62185935992777,0.9338830179506807,0.06611698204931928,1486.0,1.232379801E9
69.0,69.0,59.59219236883162,-3.8084668203524763,-182.1061134857781,-467.06178367343256,65.0,4.0,61.99079926713817,25.37814064007224,38.00920073286183,74.62185935992777,0.9338830179506807,0.06611698204931928,1488.0,1.232380063E9
70.0,70.0,60.39209141888935,-3.5301982299772106,-182.10611348577802,-467.0617836734324,66.0,4.0,62.7747157536077,25.37814064007224,37.2252842463923,74.62185935992777,0.9338830179506807,0.06611698204931928,1489.0,1.232380207E9
